Station,Year,Month,Rainfall,Temperature
Dublin Airport,2023,January,41.2,6.0
Dublin Airport,2023,February,16.2,7.2
Dublin Airport,2023,Mar,119.0,7.0
Dublin Airport,2023,Apr,77.6,8.7
Dublin Airport,2023,May,35.9,11.7
Dublin Airport,2023,June,49.4,15.3
Dublin Airport,2023,July,149.2,14.9
Dublin Airport,2023,August,119.4,15.4
Dublin Airport,2023,September,134.0,14.5
Dublin Airport,2023,October,125.7,11.3
Dublin Airport,2023,November,65.1,7.3
Dublin Airport,2023,December,68.5,7.5
Shannon Airport,2026,January,90.5,5.3
Shannon Airport,2026,February,92.7,7.7
Shannon Airport,2026,Mar,61.8,8.2
Shannon Airport,2025,January,89.2,5.6
Shannon Airport,2025,February,76.0,7.6
Shannon Airport,2025,Mar,29.5,9.0
Shannon Airport,2025,Apr,80.6,11.9
Shannon Airport,2025,May,55.8,14.2
Shannon Airport,2025,June,70.8,15.6
Shannon Airport,2025,July,99.3,17.0
Shannon Airport,2025,August,63.5,17.2
Shannon Airport,2025,September,125.4,13.6
Shannon Airport,2025,October,109.7,12.2
Shannon Airport,2025,November,145.0,8.8
Shannon Airport,2025,December,83.2,7.0
Shannon Airport,2024,January,75.9,5.1
Shannon Airport,2024,February,156.5,8.3
Shannon Airport,2024,Mar,131.8,8.3
Shannon Airport,2024,Apr,64.4,10.1
Shannon Airport,2024,May,61.3,13.2
Shannon Airport,2024,June,42.9,13.7
Shannon Airport,2024,July,38.6,15.3
Shannon Airport,2024,August,67.3,15.7
Shannon Airport,2024,September,60.1,13.5
Shannon Airport,2024,October,86.4,11.7
Shannon Airport,2024,November,94.5,9.0
Shannon Airport,2024,December,94.1,7.9
Shannon Airport,2023,January,93.4,6.6
Shannon Airport,2023,February,21.4,8.0
Shannon Airport,2023,Mar,114.6,8.1
Shannon Airport,2023,Apr,52.6,10.0
Shannon Airport,2023,May,56.7,13.5
Shannon Airport,2023,June,89.3,17.5
Shannon Airport,2023,July,155.0,15.7
Shannon Airport,2023,August,70.5,16.3
Shannon Airport,2023,September,113.8,15.6
Shannon Airport,2023,October,137.8,11.9
Shannon Airport,2023,November,100.9,8.6
Shannon Airport,2023,December,140.1,8.0
